p_z,p_n,p_symbol,p_energy,d_z,d_n,d_symbol,bin_en,dn_de,unc_dn_de,dn_de_nu,unc_dn_de_nu,extraction_date
18,21,Ar,0,19,20,K,59,0.00226052,0.0000235251,0.000305542,0.00000686024,2025-09-02
18,21,Ar,0,19,20,K,60,0.00226505,0.0000235638,0.000314536,0.00000705178,2025-09-02
18,21,Ar,0,19,20,K,61,0.00226954,0.0000236021,0.000323614,0.00000724459,2025-09-02
18,21,Ar,0,19,20,K,62,0.00227397,0.0000236399,0.000332774,0.00000743861,2025-09-02
18,21,Ar,0,19,20,K,63,0.00227837,0.0000236772,0.000342015,0.00000763378,2025-09-02
18,21,Ar,0,19,20,K,64,0.00228272,0.0000237141,0.000351333,0.00000783006,2025-09-02
18,21,Ar,0,19,20,K,65,0.00228702,0.0000237505,0.000360728,0.00000802741,2025-09-02
18,21,Ar,0,19,20,K,66,0.00229128,0.0000237865,0.000370198,0.00000822576,2025-09-02
18,21,Ar,0,19,20,K,67,0.0022955,0.000023822,0.00037974,0.00000842507,2025-09-02
18,21,Ar,0,19,20,K,68,0.00229968,0.000023857,0.000389354,0.0000086253,2025-09-02
18,21,Ar,0,19,20,K,69,0.00230381,0.0000238915,0.000399037,0.00000882639,2025-09-02
18,21,Ar,0,19,20,K,70,0.0023079,0.0000239256,0.000408788,0.0000090283,2025-09-02
18,21,Ar,0,19,20,K,71,0.00231194,0.0000239592,0.000418605,0.00000923098,2025-09-02
18,21,Ar,0,19,20,K,72,0.00231595,0.0000239923,0.000428486,0.00000943439,2025-09-02
18,21,Ar,0,19,20,K,73,0.00231991,0.0000240249,0.000438429,0.00000963848,2025-09-02
18,21,Ar,0,19,20,K,74,0.00232383,0.0000240571,0.000448434,0.0000098432,2025-09-02
18,21,Ar,0,19,20,K,75,0.00232771,0.0000240887,0.000458498,0.0000100485,2025-09-02
18,21,Ar,0,19,20,K,76,0.00233155,0.0000241199,0.000468619,0.0000102544,2025-09-02
18,21,Ar,0,19,20,K,77,0.00233534,0.0000241505,0.000478797,0.0000104607,2025-09-02
18,21,Ar,0,19,20,K,78,0.0023391,0.0000241807,0.000489028,0.0000106676,2025-09-02
18,21,Ar,0,19,20,K,79,0.00234282,0.0000242103,0.000499313,0.0000108748,2025-09-02
18,21,Ar,0,19,20,K,80,0.00234649,0.0000242395,0.000509649,0.0000110825,2025-09-02
18,21,Ar,0,19,20,K,81,0.00235013,0.0000242681,0.000520034,0.0000112904,2025-09-02
18,21,Ar,0,19,20,K,82,0.00235373,0.0000242962,0.000530468,0.0000114987,2025-09-02
18,21,Ar,0,19,20,K,83,0.00235729,0.0000243238,0.000540948,0.0000117072,2025-09-02
18,21,Ar,0,19,20,K,84,0.0023608,0.0000243509,0.000551474,0.0000119159,2025-09-02
18,21,Ar,0,19,20,K,85,0.00236429,0.0000243774,0.000562043,0.0000121249,2025-09-02
18,21,Ar,0,19,20,K,86,0.00236773,0.0000244034,0.000572654,0.0000123339,2025-09-02
18,21,Ar,0,19,20,K,87,0.00237113,0.0000244289,0.000583306,0.0000125431,2025-09-02
18,21,Ar,0,19,20,K,88,0.0023745,0.0000244538,0.000593997,0.0000127523,2025-09-02
18,21,Ar,0,19,20,K,89,0.00237783,0.0000244782,0.000604725,0.0000129615,2025-09-02
18,21,Ar,0,19,20,K,90,0.00238112,0.0000245021,0.00061549,0.0000131708,2025-09-02
18,21,Ar,0,19,20,K,91,0.00238437,0.0000245253,0.00062629,0.00001338,2025-09-02
18,21,Ar,0,19,20,K,92,0.00238759,0.000024548,0.000637124,0.0000135891,2025-09-02
18,21,Ar,0,19,20,K,93,0.00239077,0.0000245702,0.000647989,0.0000137981,2025-09-02
18,21,Ar,0,19,20,K,94,0.00239391,0.0000245918,0.000658886,0.000014007,2025-09-02
18,21,Ar,0,19,20,K,95,0.00239701,0.0000246128,0.000669811,0.0000142156,2025-09-02
18,21,Ar,0,19,20,K,96,0.00240008,0.0000246332,0.000680765,0.0000144241,2025-09-02
18,21,Ar,0,19,20,K,97,0.00240312,0.000024653,0.000691746,0.0000146323,2025-09-02
18,21,Ar,0,19,20,K,98,0.00240612,0.0000246722,0.000702752,0.0000148402,2025-09-02
18,21,Ar,0,19,20,K,99,0.00240908,0.0000246908,0.000713782,0.0000150478,2025-09-02
18,21,Ar,0,19,20,K,100,0.002412,0.0000247088,0.000724835,0.0000152551,2025-09-02
18,21,Ar,0,19,20,K,101,0.0024149,0.0000247262,0.000735909,0.000015462,2025-09-02
18,21,Ar,0,19,20,K,102,0.00241775,0.000024743,0.000747004,0.0000156684,2025-09-02
18,21,Ar,0,19,20,K,103,0.00242057,0.0000247592,0.000758118,0.0000158745,2025-09-02
